time,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
0.0000,50.0000,-25.0000,3000.0000,0.000000,0.026180,-0.008727,-9.3621,4.6811,-199.7259,0.6570,-0.3285,-2.6418
0.0200,49.8130,-24.9065,2996.0044,0.000000,0.026170,-0.008723,-9.3490,4.6745,-199.7787,0.6571,-0.3286,-2.6346
0.0400,49.6263,-24.8132,2992.0078,0.000000,0.026150,-0.008717,-9.3359,4.6679,-199.8314,0.6572,-0.3286,-2.6275
0.0600,49.4398,-24.7199,2988.0101,0.000000,0.026123,-0.008708,-9.3227,4.6614,-199.8840,0.6573,-0.3286,-2.6204
0.0800,49.2537,-24.6268,2984.0114,0.000000,0.026089,-0.008696,-9.3096,4.6548,-199.9364,0.6574,-0.3287,-2.6133
0.1000,49.0677,-24.5339,2980.0116,0.000000,0.026049,-0.008683,-9.2964,4.6482,-199.9887,0.6575,-0.3287,-2.6061
0.1200,48.8821,-24.4410,2976.0108,0.000000,0.026003,-0.008668,-9.2833,4.6416,-200.0408,0.6576,-0.3288,-2.5990
0.1400,48.6967,-24.3483,2972.0089,0.000000,0.025953,-0.008651,-9.2701,4.6351,-200.0928,0.6576,-0.3288,-2.5919
0.1600,48.5115,-24.2558,2968.0061,0.000000,0.025899,-0.008633,-9.2570,4.6285,-200.1446,0.6577,-0.3289,-2.5848
0.1800,48.3266,-24.1633,2964.0021,0.000000,0.025841,-0.008614,-9.2438,4.6219,-200.1963,0.6578,-0.3289,-2.5777
0.2000,48.1420,-24.0710,2959.9972,0.000000,0.025780,-0.008593,-9.2307,4.6153,-200.2479,0.6579,-0.3289,-2.5706
0.2200,47.9577,-23.9788,2955.9912,0.000000,0.025716,-0.008572,-9.2175,4.6087,-200.2993,0.6580,-0.3290,-2.5635
0.2400,47.7736,-23.8868,2951.9842,0.000000,0.025650,-0.008550,-9.2043,4.6022,-200.3505,0.6581,-0.3290,-2.5564
0.2600,47.5898,-23.7949,2947.9761,0.000000,0.025581,-0.008527,-9.1912,4.5956,-200.4017,0.6581,-0.3291,-2.5493
0.2800,47.4062,-23.7031,2943.9671,0.000000,0.025511,-0.008504,-9.1780,4.5890,-200.4526,0.6582,-0.3291,-2.5422
0.3000,47.2229,-23.6115,2939.9570,0.000000,0.025440,-0.008480,-9.1649,4.5824,-200.5035,0.6583,-0.3291,-2.5351
0.3200,47.0399,-23.5199,2935.9459,0.000000,0.025367,-0.008456,-9.1517,4.5758,-200.5542,0.6584,-0.3292,-2.5280
0.3400,46.8571,-23.4286,2931.9338,0.000000,0.025293,-0.008431,-9.1385,4.5693,-200.6048,0.6584,-0.3292,-2.5210
0.3600,46.6746,-23.3373,2927.9207,0.000000,0.025218,-0.008406,-9.1253,4.5627,-200.6552,0.6585,-0.3293,-2.5139
0.3800,46.4924,-23.2462,2923.9066,0.000000,0.025142,-0.008381,-9.1122,4.5561,-200.7055,0.6586,-0.3293,-2.5068
0.4000,46.3104,-23.1552,2919.8915,0.000000,0.025066,-0.008355,-9.0990,4.5495,-200.7556,0.6587,-0.3293,-2.4997
0.4200,46.1287,-23.0643,2915.8754,0.000000,0.024988,-0.008329,-9.0858,4.5429,-200.8056,0.6587,-0.3294,-2.4927
0.4400,45.9472,-22.9736,2911.8583,0.000000,0.024911,-0.008304,-9.0727,4.5363,-200.8554,0.6588,-0.3294,-2.4856
0.4600,45.7660,-22.8830,2907.8402,0.000000,0.024833,-0.008278,-9.0595,4.5297,-200.9051,0.6589,-0.3294,-2.4786
0.4800,45.5851,-22.7925,2903.8211,0.000000,0.024755,-0.008252,-9.0463,4.5232,-200.9547,0.6590,-0.3295,-2.4715
0.5000,45.4044,-22.7022,2899.8010,0.000000,0.024676,-0.008225,-9.0331,4.5166,-201.0041,0.6590,-0.3295,-2.4645
0.5200,45.2240,-22.6120,2895.7799,0.000000,0.024597,-0.008199,-9.0199,4.5100,-201.0534,0.6591,-0.3295,-2.4574
0.5400,45.0439,-22.5219,2891.7579,0.000000,0.024518,-0.008173,-9.0068,4.5034,-201.1026,0.6592,-0.3296,-2.4504
0.5600,44.8640,-22.4320,2887.7349,0.000000,0.024439,-0.008146,-8.9936,4.4968,-201.1516,0.6592,-0.3296,-2.4433
0.5800,44.6844,-22.3422,2883.7109,0.000000,0.024360,-0.008120,-8.9804,4.4902,-201.2005,0.6593,-0.3296,-2.4363
0.6000,44.5051,-22.2525,2879.6859,0.000000,0.024281,-0.008094,-8.9672,4.4836,-201.2492,0.6594,-0.3297,-2.4292
0.6200,44.3260,-22.1630,2875.6599,0.000000,0.024202,-0.008067,-8.9540,4.4770,-201.2978,0.6594,-0.3297,-2.4222
0.6400,44.1472,-22.0736,2871.6330,0.000000,0.024123,-0.008041,-8.9408,4.4704,-201.3462,0.6595,-0.3297,-2.4152
0.6600,43.9686,-21.9843,2867.6051,0.000000,0.024044,-0.008015,-8.9276,4.4638,-201.3945,0.6595,-0.3298,-2.4082
