epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.507,0.79376,5.43988,0.4158,1.1059,1.0449,0.23564,0.63507,0.25847,0.14789,0.08407,0.17167,0.08221,0.02276,1.8016,6.55812,0.15152,14.3768,1.79009,0.000190909,0.000190909,0.0811
2,41.7922,0.40506,2.5734,0.11673,0.32401,0.81529,0.91033,0.99333,0.99363,0.76615,0.43974,0.47667,0.44616,0.15893,0.66156,4.49289,0.07588,2.01627,0.86167,0.000387039,0.000387039,0.0612961
3,56.5314,0.37998,1.27548,0.06394,0.30917,0.80774,0.86266,0.99833,0.994,0.83415,0.59079,0.68,0.67548,0.26676,0.52579,2.95322,0.05008,1.87493,0.8234,0.000579209,0.000579209,0.0414883
4,73.2231,0.3972,0.84002,0.05043,0.31306,0.80897,0.9807,0.99917,0.995,0.82245,0.85752,0.87333,0.86219,0.48757,0.60099,2.30056,0.03921,1.34169,0.84165,0.000767419,0.000767419,0.0216765
5,94.6646,0.37784,0.63624,0.04481,0.31687,0.8087,0.97549,1,0.995,0.83427,0.94785,0.97167,0.97862,0.6195,0.49305,1.7297,0.03069,1.33732,0.79777,0.000951669,0.000951669,0.00186076
6,115.847,0.36472,0.54926,0.03861,0.29717,0.801,0.99954,1,0.995,0.81143,0.99954,1,0.995,0.73009,0.50085,1.58614,0.02734,0.86737,0.81772,0.0009505,0.0009505,0.0009505
7,138.192,0.34093,0.41394,0.03367,0.28642,0.79932,0.99969,1,0.995,0.84711,0.99969,1,0.995,0.81424,0.49319,1.35416,0.0253,0.65263,0.79715,0.0009406,0.0009406,0.0009406
8,159.972,0.32582,0.37989,0.03192,0.28057,0.80183,0.99986,1,0.995,0.87217,0.99986,1,0.995,0.90572,0.46914,0.98386,0.02258,0.47568,0.79609,0.0009307,0.0009307,0.0009307
9,181.517,0.31425,0.351,0.02848,0.27385,0.78914,0.99984,1,0.995,0.89494,0.99984,1,0.995,0.92699,0.41263,0.90205,0.02018,0.43688,0.78894,0.0009208,0.0009208,0.0009208
10,202.533,0.27835,0.33313,0.02835,0.24494,0.78438,0.99982,1,0.995,0.92604,0.99982,1,0.995,0.9552,0.33872,0.72287,0.01845,0.3924,0.77552,0.0009109,0.0009109,0.0009109
